year,median,average,median_k,average_k,vacancy_rate,median_income_total_m,median_income_total_f,median_income_full_m,median_income_full_f,f_to_m,median_income_total_m_k,median_income_total_f_k,median_income_full_m_k,median_income_full_f_k
1970,23400,26600,23.4,26.6,1,42666,16286,53487,31755,0.594,42.666,16.286,53.487,31.755
1971,25200,28300,25.2,28.3,0.9,42223,17065,53717,31965,0.595,42.223,17.065,53.717,31.965
1972,27600,30500,27.6,30.5,1,44340,17656,56608,32754,0.579,44.34,17.656,56.608,32.754
1973,32500,35500,32.5,35.5,1,45337,17065,58412,33081,0.566,45.337,17.065,58.412,33.081
1974,35900,38900,35.9,38.9,1,43299,16914,56316,33088,0.588,43.299,16.914,56.316,33.088
1975,39300,42600,39.3,42.6,1,42436,17340,55965,32917,0.588,42.436,17.34,55.965,32.917
1976,44200,48000,44.2,48,1,42728,17820,55811,33595,0.602,42.728,17.82,55.811,33.595
1977,48800,54200,48.8,54.2,0.9,43064,18237,57067,33625,0.589,43.064,18.237,57.067,33.625
1978,55700,62500,55.7,62.5,0.9,44302,19166,57436,34140,0.594,44.302,19.166,57.436,34.14
1979,62900,71800,62.9,71.8,1,43183,19934,56743,33854,0.597,43.183,19.934,56.743,33.854
1980,64600,76400,64.6,76.4,1.2,42022,19867,55821,33582,0.602,42.022,19.867,55.821,33.582
1981,68900,83000,68.9,83,1.1,41274,19792,55522,32888,0.592,41.274,19.792,55.522,32.888
1982,69300,83900,69.3,83.9,1.2,39730,19864,54472,33633,0.617,39.73,19.864,54.472,33.633
1983,75300,89800,75.3,89.8,1.3,39835,20398,54233,34489,0.636,39.835,20.398,54.233,34.489
1984,79900,97600,79.9,97.6,1.4,40514,20642,55248,35169,0.637,40.514,20.642,55.248,35.169
1985,84300,100800,84.3,100.8,1.4,40901,21459,55662,35944,0.646,40.901,21.459,55.662,35.944
1986,92000,111900,92,111.9,1.3,42466,22646,57103,36700,0.643,42.466,22.646,57.103,36.7
1987,104500,127200,104.5,127.2,1.4,43318,23211,56712,36964,0.652,43.318,23.211,56.712,36.964
1988,112500,138300,112.5,138.3,1.3,43483,23408,56233,37141,0.66,43.483,23.408,56.233,37.141
1989,120000,148800,120,148.8,1.3,43205,23721,55242,37936,0.687,43.205,23.721,55.242,37.936
1990,122900,149800,122.9,149.8,1.4,41456,23596,53314,38182,0.716,41.456,23.596,53.314,38.182
1991,120000,147200,120,147.2,1.4,40624,23946,54682,38200,0.699,40.624,23.946,54.682,38.2
1992,121500,144100,121.5,144.1,1.3,39721,24531,54763,38764,0.708,39.721,24.531,54.763,38.764
1993,126500,147700,126.5,147.7,1.1,39700,24581,53787,38468,0.715,39.7,24.581,53.787,38.468
1994,130000,154500,130,154.5,1.3,40989,24818,53462,38475,0.72,40.989,24.818,53.462,38.475
1995,133900,158700,133.9,158.7,1.4,42330,25924,53290,38064,0.714,42.33,25.924,53.29,38.064
1996,140000,166400,140,166.4,1.4,42496,26415,52976,39076,0.738,42.496,26.415,52.976,39.076
1997,146000,176200,146,176.2,1.5,43303,26966,54323,40287,0.742,43.303,26.966,54.323,40.287
1998,152500,181900,152.5,181.9,1.6,45768,28198,56257,41163,0.732,45.768,28.198,56.257,41.163
1999,161000,195600,161,195.6,1.5,46877,28738,56714,41013,0.723,46.877,28.738,56.714,41.013
2000,169000,207000,169,207,1.4,46653,30549,56151,41394,0.737,46.653,30.549,56.151,41.394
2001,175200,213200,175.2,213.2,1.6,45967,30559,56095,42817,0.763,45.967,30.559,56.095,42.817
