year,median,average,vacancy_rate,median_income_total_m,median_income_total_f,median_income_full_m,median_income_full_f,f_to_m
1970,23400,26600,1,42666,16286,53487,31755,0.594
1971,25200,28300,0.9,42223,17065,53717,31965,0.595
1972,27600,30500,1,44340,17656,56608,32754,0.579
1973,32500,35500,1,45337,17065,58412,33081,0.566
1974,35900,38900,1,43299,16914,56316,33088,0.588
1975,39300,42600,1,42436,17340,55965,32917,0.588
1976,44200,48000,1,42728,17820,55811,33595,0.602
1977,48800,54200,0.9,43064,18237,57067,33625,0.589
1978,55700,62500,0.9,44302,19166,57436,34140,0.594
1979,62900,71800,1,43183,19934,56743,33854,0.597
1980,64600,76400,1.2,42022,19867,55821,33582,0.602
1981,68900,83000,1.1,41274,19792,55522,32888,0.592
1982,69300,83900,1.2,39730,19864,54472,33633,0.617
1983,75300,89800,1.3,39835,20398,54233,34489,0.636
1984,79900,97600,1.4,40514,20642,55248,35169,0.637
1985,84300,100800,1.4,40901,21459,55662,35944,0.646
1986,92000,111900,1.3,42466,22646,57103,36700,0.643
1987,104500,127200,1.4,43318,23211,56712,36964,0.652
1988,112500,138300,1.3,43483,23408,56233,37141,0.66
1989,120000,148800,1.3,43205,23721,55242,37936,0.687
1990,122900,149800,1.4,41456,23596,53314,38182,0.716
1991,120000,147200,1.4,40624,23946,54682,38200,0.699
1992,121500,144100,1.3,39721,24531,54763,38764,0.708
1993,126500,147700,1.1,39700,24581,53787,38468,0.715
1994,130000,154500,1.3,40989,24818,53462,38475,0.72
1995,133900,158700,1.4,42330,25924,53290,38064,0.714
1996,140000,166400,1.4,42496,26415,52976,39076,0.738
1997,146000,176200,1.5,43303,26966,54323,40287,0.742
1998,152500,181900,1.6,45768,28198,56257,41163,0.732
1999,161000,195600,1.5,46877,28738,56714,41013,0.723
2000,169000,207000,1.4,46653,30549,56151,41394,0.737
2001,175200,213200,1.6,45967,30559,56095,42817,0.763
2002,187600,228700,1.6,45662,30919,56890,43578,0.766
2003,195000,246300,1.6,45214,31043,57375,43346,0.755
2004,221000,274500,1.6,44622,30573,56041,42914,0.766
2005,240900,297000,1.7,45639,30658,54989,42329,0.77
2006,246500,305900,2.1,46175,31487,54389,41846,0.769
2007,247900,313600,2.4,45848,32386,56458,43929,0.778
2008,232100,292600,2.5,44071,30913,55881,43079,0.771
2009,216700,270900,2.3,43938,31480,56995,43874,0.77
2010,221800,272900,2.3,43764,31532,57050,43888,0.769
2011,227200,267900,2.2,43069,30623,55596,42812,0.77
2012,245200,292200,1.8,42825,30363,55794,42684,0.765
2013,268900,324500,1.8,44412,30870,55686,43581,0.783
2013,268900,324500,1.8,44775,30485,55666,43176,0.776
2014,288500,347700,1.7,44477,31076,55142,43364,0.786
2015,294200,352700,1.7,45468,33046,55953,44514,0.796
2016,307800,360900,1.6,45541,33311,55702,44823,0.805
2017,323100,384900,1.5,46893,33379,55064,44326,0.805
2017,323100,384900,1.5,47589,33671,55106,45004,0.817
2018,326400,385000,1.3,48182,33661,56995,46488,0.816
2019,321500,383900,1.3,49378,36273,58173,47889,0.823
2020,336900,391900,0.9,49389,35838,61417,50982,0.83
