year,median,average
1970,4.369215857,4.424881637
1971,4.401400541,4.451786436
1972,4.440909082,4.484299839
1973,4.511883361,4.550228353
1974,4.555094449,4.589949601
1975,4.59439255,4.629409599
1976,4.645422269,4.681241237
1977,4.688419822,4.733999287
1978,4.745855195,4.795880017
1979,4.798650645,4.856124444
1980,4.810232518,4.883093359
1981,4.838219222,4.919078092
1982,4.840733235,4.923761961
1983,4.876794976,4.953276337
1984,4.902546779,4.989449818
1985,4.925827575,5.003460532
1986,4.963787827,5.048830087
1987,5.01911629,5.104487111
1988,5.051152522,5.14082218
1989,5.079181246,5.172602931
1990,5.089551883,5.175511813
1991,5.079181246,5.16790781
1992,5.084576278,5.158663981
1993,5.102090526,5.169380495
1994,5.113943352,5.188928484
1995,5.126780577,5.200576927
1996,5.146128036,5.221153322
1997,5.164352856,5.246005904
1998,5.183269844,5.259832699
1999,5.206825876,5.29136885
2000,5.227886705,5.315970345
2001,5.243534102,5.3287872
2002,5.273232834,5.359266165
2003,5.290034611,5.391464412
2004,5.344392274,5.438542349
2005,5.3818368,5.472756449
2006,5.391816924,5.485579477
2007,5.394276527,5.496376054
2008,5.36567514,5.466274322
2009,5.335858911,5.432809005
2010,5.345961542,5.436003536
2011,5.356408327,5.427972714
2012,5.389520466,5.465680212
2013,5.429590802,5.511214701
2013,5.429590802,5.511214701
2014,5.460145817,5.541204691
2015,5.468642668,5.54740546
2016,5.488268615,5.557386882
2017,5.509336958,5.585347911
2017,5.509336958,5.585347911
2018,5.51375015,5.58546073
2019,5.507180977,5.584218112
2020,5.527501011,5.593175263
