year,years_of_income_m,years_of_income_f
1970,0.437489483,0.736891828
1971,0.46912523,0.788362271
1972,0.487563595,0.842645173
1973,0.556392522,0.982437048
1974,0.637474252,1.084985493
1975,0.702224605,1.19391196
1976,0.791958574,1.315671975
1977,0.855135192,1.451301115
1978,0.969775054,1.631517282
1979,1.108506776,1.857978378
1980,1.157270561,1.923649574
1981,1.240949534,2.094989054
1982,1.272213247,2.060476318
1983,1.388453525,2.183304822
1984,1.446206198,2.271887173
1985,1.514498221,2.345314934
1986,1.611123759,2.506811989
1987,1.842643532,2.827074992
1988,2.000604627,3.028997604
1989,2.172260237,3.163222269
1990,2.305210639,3.218794196
1991,2.194506419,3.141361257
1992,2.218651279,3.13435146
1993,2.351869411,3.288447541
1994,2.431633684,3.378817414
1995,2.512666542,3.517759563
1996,2.642706131,3.582761798
1997,2.687627708,3.623997816
1998,2.71077377,3.704783422
1999,2.838805233,3.925584571
2000,3.00974159,4.082717302
2001,3.123273019,4.091832683
2002,3.297591844,4.304924503
2003,3.39869281,4.498685
2004,3.943541336,5.149834553
2005,4.380876175,5.691133738
2006,4.532166431,5.890646657
2007,4.390874632,5.643196977
2008,4.153468979,5.387775947
2009,3.802087902,4.939143912
2010,3.887817704,5.053773241
2011,4.086624937,5.306923293
2012,4.394737785,5.74454128
2013,4.828861832,6.170120006
2013,4.830596774,6.227997035
2014,5.231946611,6.652984042
2015,5.25798438,6.60915667
2016,5.525833902,6.86701024
2017,5.867717565,7.289175653
2017,5.863245382,7.179361835
2018,5.726818142,7.021166753
2019,5.526618878,6.7134415
2020,5.485451911,6.608214664
